"stop,name_tc,name_en"
"001353,""耀東邨耀興樓, 耀興道"",""Yiu Hing House Yiu Tung Estate, Yiu Hing Road"""
"001354,""耀東邨耀貴樓, 耀興道"",""Yiu Kwai House Yiu Tung Estate, Yiu Hing Road"""
"001355,""筲箕灣廣場, 耀興道"",""Shaukeiwan Plaza, Yiu Hing Road"""
"001356,""筲箕灣廣場, 耀興道"",""Shaukeiwan Plaza, Yiu Hing Road"""
"001357,""東盛苑, 耀興道"",""Tung Shing Court, Yiu Hing Road"""
"001358,""耀東商場, 耀興道"",""Yiu Tung Shopping Centre, Yiu Hing Road"""
"001359,""耀東邨耀華樓, 耀興道"",""Yiu Wah House Yiu Tung Estate, Yiu Hing Road"""
"001360,""東熹苑景熹閣, 耀興道"",""King Hei House Tung Hei Court, Yiu Hing Road"""
"001361,""興東邨, 耀興道"",""Hing Tung Estate, Yiu Hing Road"""
"001362,""富欣花園, 小西灣道"",""Harmony Garden, Siu Sai Wan Road"""
"001363,天后站,Tin Hau Station"
"001364,""長康街, 英皇道"",""Cheung Hong Street, King's Road"""
"001365,""新威園, 英皇道"",""Sunway Gardens, King's Road"""
"001366,小西灣邨,Siu Sai Wan Estate"
